Practice name,Practice Code,Practice Population,Lat,Lon,NHSE OC Provider,Manual OC Provider,Most likely OC Provider
THE DENSHAM SURGERY,A81001,3743,54.5615936359273,-1.31882504949962,eConsult,eConsult,eConsult
QUEENS PARK MEDICAL CENTRE,A81002,18654,54.5691629671937,-1.3138796009281,SystmConnect,SystmConnect,SystmConnect
ACKLAM MEDICAL CENTRE,A81004,11419,54.5393098266642,-1.26216751165767,eConsult; SystmConnect,SystmConnect,SystmConnect
SPRINGWOOD SURGERY,A81005,7592,54.5328485970829,-1.05316619795324,eConsult,eConsult,eConsult
TENNANT STREET MEDICAL PRACTICE,A81006,14558,54.5686422962117,-1.31398114423873,SystmConnect,eConsult,eConsult
BANKHOUSE SURGERY,A81007,10436,54.6816902917328,-1.21498377035184,eConsult,,eConsult
VILLAGE MEDICAL CENTRE,A81009,7923,54.5625050612085,-1.24181705422338,eConsult,eConsult,eConsult
CHADWICK PRACTICE,A81011,12009,54.6823319425657,-1.2141493417514,eConsult,eConsult,eConsult
WESTBOURNE MEDICAL CENTRE,A81012,5642,54.5718478268858,-1.21721910646358,eConsult,eConsult,eConsult
BROTTON SURGERY,A81013,7801,54.5652660046789,-0.936356691442813,eConsult,eConsult,eConsult
QUEENSTREE PRACTICE,A81014,4107,54.6082905186443,-1.29479820318822,eConsult,eConsult,eConsult
PARK SURGERY,A81016,12665,54.5663982915067,-1.24004555141223,eConsult,eConsult,eConsult
WOODBRIDGE PRACTICE,A81017,18231,54.5381491767139,-1.29211281196398,eConsult,eConsult,eConsult
BENTLEY MEDICAL PRACTICE,A81018,10111,54.6007799853224,-1.0697253941746,eConsult,eConsult,eConsult
CROSSFELL HEALTH CENTRE,A81019,8828,54.5608325666536,-1.2038833488422,eConsult,eConsult,eConsult
MARTONSIDE MEDICAL CENTRE,A81020,7825,54.552175334276,-1.22003855496868,eConsult,eConsult,eConsult
NORMANBY MEDICAL CENTRE,A81021,26481,54.5714510479014,-1.16772117737387,eConsult,eConsult,eConsult
HILLSIDE PRACTICE,A81022,9344,54.5631409483559,-0.980797950222197,eConsult,eConsult,eConsult
THE ENDEAVOUR PRACTICE,A81023,8118,54.575046557659,-1.23539651184636,eConsult,eConsult,eConsult
THE DOVECOT SURGERY,A81025,4084,54.5615924677248,-1.31882506896414,eConsult,,eConsult
LINTHORPE SURGERY,A81026,20556,54.5633305156537,-1.24160069680326,eConsult,eConsult,eConsult
YARM MEDICAL PRACTICE,A81027,14223,54.5047580528425,-1.35555058898756,SystmConnect,SystmConnect,SystmConnect
PROSPECT SURGERY,A81029,6847,54.575046557659,-1.23539651184636,eConsult,eConsult,eConsult
BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,A81030,17039,54.5719659357653,-1.22720946996703,eConsult,eConsult,eConsult
HAVELOCK GRANGE PRACTICE,A81031,13604,54.6823319425657,-1.2141493417514,eConsult,eConsult,eConsult
THE GARTH,A81032,11652,54.5328485970829,-1.05316619795324,SystmConnect,SystmConnect,SystmConnect
THORNABY & BARWICK MEDICAL GROUP,A81034,20870,54.5380784580025,-1.292129800112,eConsult,eConsult,eConsult
NEWLANDS MEDICAL CENTRE,A81035,9545,54.5719314685215,-1.22603452012286,eConsult,eConsult,eConsult
NORTON MEDICAL CENTRE,A81036,16036,54.5886960272259,-1.30832104065264,eConsult,eConsult,eConsult
THE ERIMUS PRACTICE,A81037,6093,54.575046557659,-1.23539651184636,eConsult,eConsult,eConsult
HIRSEL MEDICAL CENTRE,A81038,3703,54.5718478268858,-1.21721910646358,eConsult,eConsult,eConsult
EAGLESCLIFFE MEDICAL PRACTICE,A81039,13159,54.5204936659078,-1.3505213716595,SystmConnect,SystmConnect,SystmConnect
MARSH HOUSE MEDICAL PRACTICE,A81040,8513,54.6109549140767,-1.29366229943869,eConsult,,eConsult
HART MEDICAL PRACTICE,A81041,9390,54.703969263008,-1.22343040866668,eConsult,eConsult,eConsult
SOUTH GRANGE MEDICAL GROUP PRACTICE,A81042,15796,54.5700848240048,-1.16585342151754,eConsult,eConsult,eConsult
MCKENZIE HOUSE SURGERY,A81044,19463,54.6733934579953,-1.21053818694086,eConsult,eConsult,eConsult
THE COATHAM ROAD SURGERY,A81045,6266,54.6174309938656,-1.0723411376013,eConsult,eConsult,eConsult
WOODLANDS FAMILY MEDICAL CENTRE,A81046,12171,54.5612148053556,-1.32120389155675,eConsult,eConsult,eConsult
ZETLAND MEDICAL PRACTICE,A81048,7142,54.5918647183122,-1.01776539724606,eConsult,eConsult,eConsult
KINGS MEDICAL CENTRE,A81049,6348,54.5712775097615,-1.21658036646221,eConsult,eConsult,eConsult
CAMBRIDGE MEDICAL GROUP,A81051,7257,54.5541493923954,-1.25230039638104,eConsult,eConsult,eConsult
THE GREEN HOUSE SURGERY,A81052,10111,54.6007799853224,-1.0697253941746,eConsult,eConsult,eConsult
WOODSIDE SURGERY,A81053,5807,54.5541320836399,-0.887333682717311,eConsult,eConsult,eConsult
THE SALTSCAR SURGERY,A81054,8447,54.6162822127771,-1.07363815347353,eConsult,eConsult,eConsult
MELROSE SURGERY,A81056,2402,54.609836553483,-1.2871694613777,eConsult,,eConsult
KINGSWAY MEDICAL CENTRE,A81057,10070,54.6064592787437,-1.28900881699297,eConsult,eConsult,eConsult
COULBY MEDICAL PRACTICE,A81058,9200,54.5248048955964,-1.21376186958288,eConsult,eConsult,eConsult
WEST QUAY MEDICAL PRACTICE,A81060,6269,54.6851263380287,-1.21823694023909,eConsult; SystmConnect,SystmConnect,SystmConnect
